make,model,year,selling_price,mileage,availability,fuel,transmission,mpg,description
Hyundai,Santro Xing GL Plus,2013,175000,50000.0,sold,Petrol,Manual,27.6,N/A
Ford,Fiesta Titanium 1.5 TDCi,2011,325000,62500.0,in stock,Diesel,Manual,24.2,N/A
Maruti,Swift Dzire LDI,2017,425000,56250.0,in stock,Diesel,Manual,25.9,N/A
Hyundai,Accent GLE CNG,2009,160000,43750.0,sold,CNG,Manual,18.2,N/A
Maruti,Zen Estilo LXI BSIII,2007,100000,50000.0,sold,Petrol,Manual,24.3,N/A
Maruti,Swift Dzire LDI,2014,390000,68750.0,sold,Diesel,Manual,25.5,N/A
Hyundai,i20 1.2 Spotz,2017,400000,31250.0,in stock,Petrol,Manual,24.8,N/A
Tata,Tigor 1.2 Revotron XM,2018,509999,3125.0,in stock,Petrol,Manual,20.2,N/A
Hyundai,i10 Magna 1.1,2008,150000,56250.0,in stock,Petrol,Manual,23.7,N/A
Hyundai,Santro Xing GLS,2009,110000,75000.0,sold,Petrol,Manual,20.7,N/A
Nissan,Sunny Diesel XV,2013,450000,50000.0,in stock,Diesel,Manual,21.0,N/A
Hyundai,i20 1.2 Spotz,2017,400000,23750.0,in stock,Petrol,Manual,21.0,N/A
Hyundai,Santro Xing GLS,2009,140000,75000.0,in stock,Petrol,Manual,26.4,N/A
Tata,Indigo CR4,2011,130000,56250.0,in stock,Diesel,Manual,21.5,N/A
Maruti,Alto 800 LXI,2017,160000,31250.0,sold,Petrol,Manual,25.6,N/A
Maruti,Alto 800 LXI,2016,150000,37500.0,in stock,Petrol,Manual,35.1,N/A
Mahindra,XUV500 W8 2WD,2013,500000,62500.0,sold,Diesel,Manual,27.1,N/A
Tata,Nano Std,2011,40000,11875.0,sold,Petrol,Manual,19.5,N/A
Chevrolet,Tavera LT L1 7 Seats BSIII,2006,140000,125000.0,sold,Diesel,Manual,26.8,N/A
Mahindra,Verito 1.5 D2 BSIV,2015,227000,43750.0,sold,Diesel,Manual,18.9,N/A
Maruti,Swift VDI,2011,285000,31250.0,sold,Diesel,Manual,19.0,N/A
Maruti,Alto LX,2012,155000,11923.125,sold,Petrol,Manual,27.7,N/A
Hyundai,EON D Lite,2016,210000,18750.0,sold,Petrol,Manual,18.8,N/A
Maruti,Alto LXi,2009,140000,50000.0,sold,Petrol,Manual,28.3,N/A
Toyota,Innova 2.5 GX (Diesel) 7 Seater,2015,940000,80000.0,sold,Diesel,Manual,16.1,N/A
Nissan,Terrano XV Premium 110 PS,2013,750000,50000.0,in stock,Diesel,Manual,35.3,N/A
Maruti,Baleno Alpha 1.3,2016,610000,62500.0,in stock,Diesel,Manual,29.5,N/A
Nissan,Sunny XV D Premium Leather,2015,450000,31250.0,in stock,Diesel,Manual,27.6,N/A
Toyota,Etios Liva GD,2012,409999,35000.0,in stock,Diesel,Manual,27.6,N/A
Hyundai,EON 1.0 Era Plus,2018,100000,13313.75,sold,Petrol,Manual,34.7,N/A
Renault,KWID 1.0 RXT Optional,2018,300000,6562.5,sold,Petrol,Manual,28.2,N/A
Mahindra,Bolero 2011-2019 SLX,2013,400000,66875.0,sold,Diesel,Manual,31.3,N/A
Hyundai,i10 Sportz 1.2,2010,210000,37500.0,sold,Petrol,Manual,20.3,N/A
Hyundai,Santro Xing XG eRLX Euro III,2006,90000,75000.0,sold,Petrol,Manual,24.6,N/A
Maruti,Wagon R LXI BS IV,2010,222000,43750.0,sold,Petrol,Manual,22.9,N/A
Maruti,Alto 800 LXI,2015,240000,31250.0,sold,Petrol,Manual,26.6,N/A
Toyota,Etios Liva GD,2013,450000,43750.0,sold,Diesel,Manual,21.7,N/A
Renault,Duster 85PS Diesel RxL,2013,450000,625.0,in stock,Diesel,Manual,16.7,N/A
Mercedes-Benz,C-Class Progressive C 220d,2018,3800000,6250.0,sold,Diesel,Automatic,21.7,N/A
Audi,A4 3.0 TDI Quattro,2013,1580000,53750.0,sold,Diesel,Automatic,29.9,N/A
BMW,X5 xDrive 30d xLine,2019,4950000,18750.0,sold,Diesel,Automatic,20.9,N/A
Hyundai,Creta 1.6 CRDi SX,2016,535000,32875.0,sold,Diesel,Manual,27.8,N/A
Maruti,SX4 Vxi BSIV,2012,225000,68750.0,sold,Petrol,Manual,31.7,N/A
Hyundai,Grand i10 1.2 Kappa Magna AT,2017,550000,12431.25,in stock,Petrol,Automatic,29.3,N/A
Maruti,Swift ZXI BSIV,2016,670000,4440.0,sold,Petrol,Manual,25.4,N/A
Maruti,Ertiga VXI,2015,625000,7448.75,in stock,Petrol,Manual,32.7,N/A
Hyundai,Grand i10 Magna AT,2017,520000,6568.75,sold,Petrol,Automatic,15.0,N/A
Chevrolet,Beat LT Option,2016,239000,25625.0,sold,Petrol,Manual,20.0,N/A
Toyota,Fortuner 4x2 AT,2017,2600000,29476.25,in stock,Diesel,Automatic,33.1,N/A
Maruti,S-Cross Zeta DDiS 200 SH,2015,750000,28733.75,in stock,Diesel,Manual,25.6,N/A
Hyundai,i10 Magna,2012,229999,31140.0,sold,Petrol,Manual,26.7,N/A
Audi,A6 2.0 TDI Premium Plus,2013,1300000,36562.5,sold,Diesel,Automatic,21.0,N/A
Hyundai,Santro GS,2005,80000,35362.5,sold,Petrol,Manual,26.5,N/A
Skoda,Laura Ambiente 2.0 TDI CR MT,2012,385000,32500.0,sold,Diesel,Manual,30.6,N/A
Hyundai,Verna 1.6 VTVT SX,2015,760000,34587.5,sold,Petrol,Manual,24.0,N/A
Maruti,Swift Dzire VDI,2017,600000,29066.875,sold,Diesel,Manual,26.0,N/A
Renault,Duster 85PS Diesel RxL,2013,450000,625.0,in stock,Diesel,Manual,30.5,N/A
Mercedes-Benz,C-Class Progressive C 220d,2018,3800000,6250.0,sold,Diesel,Automatic,15.2,N/A
Audi,A4 3.0 TDI Quattro,2013,1580000,53750.0,sold,Diesel,Automatic,30.5,N/A
BMW,X5 xDrive 30d xLine,2019,4950000,18750.0,in stock,Diesel,Automatic,33.5,N/A
Hyundai,Creta 1.6 CRDi SX,2016,535000,32875.0,sold,Diesel,Manual,29.6,N/A
Maruti,SX4 Vxi BSIV,2012,225000,68750.0,in stock,Petrol,Manual,27.8,N/A
Hyundai,Grand i10 1.2 Kappa Magna AT,2017,550000,12431.25,in stock,Petrol,Automatic,29.9,N/A
Maruti,Swift ZXI BSIV,2016,670000,4440.0,in stock,Petrol,Manual,25.8,N/A
Maruti,Ertiga VXI,2015,625000,7448.75,sold,Petrol,Manual,31.9,N/A
Hyundai,Grand i10 Magna AT,2017,520000,6568.75,sold,Petrol,Automatic,29.8,N/A
Chevrolet,Beat LT Option,2016,239000,25625.0,sold,Petrol,Manual,28.1,N/A
Toyota,Fortuner 4x2 AT,2017,2600000,29476.25,sold,Diesel,Automatic,22.0,N/A
Maruti,S-Cross Zeta DDiS 200 SH,2015,750000,28733.75,sold,Diesel,Manual,26.2,N/A
Hyundai,i10 Magna,2012,229999,31140.0,sold,Petrol,Manual,27.6,N/A
Audi,A6 2.0 TDI Premium Plus,2013,1300000,36562.5,sold,Diesel,Automatic,17.9,N/A
Hyundai,Santro GS,2005,80000,35362.5,sold,Petrol,Manual,22.5,N/A
Skoda,Laura Ambiente 2.0 TDI CR MT,2012,385000,32500.0,sold,Diesel,Manual,25.3,N/A
Hyundai,Verna 1.6 VTVT SX,2015,760000,34587.5,sold,Petrol,Manual,29.0,N/A
Maruti,Swift Dzire VDI,2017,600000,29066.875,in stock,Diesel,Manual,20.6,N/A
Volkswagen,Jetta 2.0L TDI Highline AT,2012,735000,34562.5,sold,Diesel,Automatic,27.2,N/A
Tata,Indica Vista Quadrajet 90 VX,2012,285000,46437.5,in stock,Diesel,Manual,25.9,N/A
Honda,City VX MT,2010,350000,30488.125,sold,Petrol,Manual,21.0,N/A
Volkswagen,Jetta 1.9 Highline TDI,2010,290000,54762.5,sold,Diesel,Automatic,19.7,N/A
Volkswagen,Vento 1.5 TDI Highline Plus AT,2017,890000,25136.875,in stock,Diesel,Automatic,22.5,N/A
Honda,Jazz VX,2011,385000,7170.625,sold,Petrol,Manual,24.7,N/A
Maruti,Eeco 5 Seater AC BSIV,2017,425000,5220.0,in stock,Petrol,Manual,25.6,N/A
Maruti,Wagon R VXI AMT1.2BSIV,2017,525000,6090.625,sold,Petrol,Automatic,21.9,N/A
Hyundai,Grand i10 Asta,2017,550000,6092.5,sold,Petrol,Manual,21.4,N/A
Volkswagen,Polo 1.0 MPI Trendline,2012,271000,30625.0,sold,Petrol,Manual,15.5,N/A
Hyundai,Creta 1.6 CRDi SX Option,2018,1490000,12933.75,in stock,Diesel,Manual,18.0,N/A
Hyundai,Grand i10 Asta Option,2015,490000,19425.0,in stock,Petrol,Manual,29.0,N/A
Hyundai,EON Era Plus,2014,260000,23503.125,sold,Petrol,Manual,34.7,N/A
Hyundai,Xcent 1.1 CRDi SX Option,2014,455000,34906.25,sold,Diesel,Manual,28.3,N/A
Tata,Nano Lx BSIV,2010,75000,36781.25,in stock,Petrol,Manual,33.0,N/A
Toyota,Etios Cross 1.2L G,2015,421000,14899.375,in stock,Petrol,Manual,22.6,N/A
Maruti,Swift DDiS LDI,2016,550000,33750.0,sold,Diesel,Manual,26.4,N/A
Hyundai,i10 Sportz 1.2 AT,2013,330000,23750.0,sold,Petrol,Automatic,26.2,N/A
Volkswagen,Vento 1.5 TDI Comfortline,2012,390000,28408.75,sold,Diesel,Manual,34.9,N/A
Skoda,Rapid 1.5 TDI AT Ambition,2015,599000,29348.125,in stock,Diesel,Automatic,25.6,N/A
Hyundai,Getz GLE,2007,110000,37500.0,sold,Petrol,Manual,23.4,N/A
Renault,KWID RXT Optional,2016,250000,15625.0,sold,Petrol,Manual,24.4,N/A
Mahindra,Scorpio M2DI,2012,600000,68750.0,in stock,Diesel,Manual,30.4,N/A
Ford,Endeavour XLT TDCi 4X2,2008,280000,118750.0,in stock,Diesel,Manual,19.2,N/A
Audi,Q3 35 TDI Quattro Technology,2018,2700000,15625.0,sold,Diesel,Automatic,29.1,N/A
Mahindra,Renault Logan 1.4 GLX Petrol,2008,80000,56250.0,sold,Petrol,Manual,27.5,N/A
Maruti,Alto K10 VXI,2019,350000,3125.0,in stock,Petrol,Manual,25.1,N/A
Maruti,Swift VDI BSIV,2015,475000,37500.0,in stock,Diesel,Manual,21.5,N/A
Audi,A5 Sportback,2020,4700000,937.5,sold,Diesel,Automatic,28.2,N/A
Maruti,Swift Dzire VDI,2018,500000,31250.0,sold,Diesel,Manual,23.0,N/A
Chevrolet,Sail Hatchback 1.3 TCDi LT ABS,2014,250000,75000.0,in stock,Diesel,Manual,32.5,N/A
Hyundai,Accent CRDi,2005,100000,75000.0,sold,Diesel,Manual,24.1,N/A
Maruti,Alto K10 VXI Airbag,2019,350000,3125.0,in stock,Petrol,Manual,30.9,N/A
BMW,7 Series Signature 730Ld,2014,4000000,29375.0,sold,Diesel,Automatic,33.0,N/A
Toyota,Camry 2.5 Hybrid,2017,1900000,12500.0,sold,Petrol,Automatic,23.7,N/A
Hyundai,Santro Xing XG,2005,95000,75000.0,sold,Petrol,Manual,31.4,N/A
Hyundai,Grand i10 CRDi Sportz,2015,409999,36250.0,sold,Diesel,Manual,30.4,N/A
Mahindra,XUV500 W5 BSIV,2018,1050000,21875.0,sold,Diesel,Manual,24.5,N/A
Maruti,Alto K10 VXI,2017,320000,18750.0,sold,Petrol,Manual,27.1,N/A
Mahindra,XUV300 W8 Option Diesel BSIV,2019,1000000,6250.0,in stock,Diesel,Manual,23.7,N/A
Toyota,Innova Crysta 2.4 VX MT BSIV,2017,1770000,15625.0,sold,Diesel,Manual,17.0,N/A
Mahindra,Thar CRDe,2018,950000,12500.0,sold,Diesel,Manual,21.1,N/A
Maruti,Swift Dzire ZDI,2018,750000,31250.0,sold,Diesel,Manual,35.0,N/A
Hyundai,EON Magna Plus,2014,220000,26250.0,in stock,Petrol,Manual,23.1,N/A
Tata,Hexa XM,2017,1000000,31250.0,sold,Diesel,Manual,17.7,N/A
Honda,Mobilio E i DTEC,2017,660000,72500.0,in stock,Diesel,Manual,24.6,N/A
Maruti,Ertiga ZDI,2015,716000,62500.0,sold,Diesel,Manual,20.7,N/A
Maruti,Ciaz ZXi Plus,2015,675000,41250.0,in stock,Petrol,Manual,24.7,N/A
Mahindra,Scorpio LX,2010,385000,68750.0,sold,Diesel,Manual,29.2,N/A
Fiat,Grande Punto EVO 1.3 Dynamic,2014,325000,43750.0,sold,Diesel,Manual,30.1,N/A
Hyundai,Creta 1.6 CRDi SX Option,2015,950000,37500.0,sold,Diesel,Manual,28.3,N/A
Ford,Endeavour Hurricane Limited Edition,2007,400000,68750.0,sold,Diesel,Automatic,22.1,N/A
Tata,Indica Vista TDI LS,2014,250000,15625.0,sold,Diesel,Manual,26.7,N/A
Land,Rover Discovery S 2.0 SD4,2018,4000000,42500.0,in stock,Petrol,Automatic,20.3,N/A
Maruti,Alto 800 LXI,2014,210000,12500.0,in stock,Petrol,Manual,24.1,N/A
Hyundai,i10 Era 1.1 iTech SE,2011,147000,68750.0,sold,Petrol,Manual,26.8,N/A
Maruti,Vitara Brezza VDi Option,2018,725000,16468.75,sold,Diesel,Manual,24.9,N/A
Mahindra,Scorpio SLE BSIV,2012,550000,56250.0,sold,Diesel,Manual,33.6,N/A
Hyundai,i20 Sportz Option 1.2,2016,475000,15625.0,in stock,Petrol,Manual,26.3,N/A
Hyundai,Santro Xing GLS,2014,250000,31250.0,sold,Petrol,Manual,28.9,N/A
Tata,Indica LSI,2006,70000,37500.0,sold,Petrol,Manual,26.9,N/A
Hyundai,EON Era Plus,2012,160000,43750.0,sold,Petrol,Manual,34.0,N/A
Ford,Endeavour 3.0L 4X4 AT,2011,1000000,56250.0,in stock,Diesel,Automatic,25.0,N/A
Hyundai,Santro LE zipPlus,2001,68000,43750.0,sold,Petrol,Manual,15.2,N/A
Hyundai,Grand i10 1.2 Kappa Asta,2017,500000,16562.5,sold,Petrol,Manual,24.0,N/A
Tata,Indigo CR4,2013,170000,37500.0,sold,Diesel,Manual,23.8,N/A
Mahindra,Scorpio S11 BSIV,2018,1300000,21875.0,sold,Diesel,Manual,29.0,N/A
Hyundai,Creta 1.4 EX Diesel,2020,1050000,6250.0,sold,Diesel,Manual,18.6,N/A
Maruti,Ritz LXI,2009,300000,9375.0,sold,Petrol,Manual,16.4,N/A
Hyundai,i20 Magna 1.2,2016,600000,15625.0,sold,Petrol,Manual,20.7,N/A
Hyundai,Verna CRDi 1.6 SX,2017,900000,31250.0,sold,Diesel,Manual,31.1,N/A
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2019,550000,15625.0,in stock,Petrol,Manual,18.0,N/A
Maruti,Alto LX,2007,100000,32500.0,sold,Petrol,Manual,27.2,N/A
Honda,Brio 1.2 S MT,2017,400000,9375.0,sold,Petrol,Manual,22.5,N/A
Tata,Nano Lx,2011,120000,12500.0,in stock,Petrol,Manual,21.4,N/A
Hyundai,i20 Asta 1.4 CRDi,2013,300000,56250.0,in stock,Diesel,Manual,26.0,N/A
Tata,Indigo LX,2011,140000,37500.0,sold,Diesel,Manual,33.2,N/A
Skoda,Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,14375.0,sold,Petrol,Manual,26.9,N/A
Maruti,Alto K10 VXI,2018,380000,13846.875,sold,Petrol,Manual,18.1,N/A
Tata,Nano Lx,2011,120000,12500.0,sold,Petrol,Manual,22.9,N/A
Maruti,Ciaz 1.4 Delta,2018,650000,43750.0,sold,Petrol,Manual,23.2,N/A
Maruti,Alto LX,2009,150000,37500.0,in stock,Petrol,Manual,34.7,N/A
Ford,Figo Aspire 1.2 Ti-VCT Trend,2018,550000,21875.0,in stock,Petrol,Manual,24.3,N/A
Mahindra,XUV500 W8 4WD,2012,650000,44401.25,sold,Diesel,Manual,15.8,N/A
Mitsubishi,Pajero Sport 4X4,2012,1025000,104918.75,sold,Diesel,Manual,26.1,N/A
Ford,Fiesta 1.5 TDCi Titanium,2011,195000,83477.5,sold,Diesel,Manual,29.3,N/A
Mercedes-Benz,C-Class Progressive C 220d,2018,3800000,6250.0,sold,Diesel,Automatic,22.4,N/A
BMW,3 Series 320d Sport,2013,1490000,25000.0,sold,Diesel,Automatic,25.3,N/A
BMW,X5 xDrive 30d xLine,2019,4950000,18750.0,in stock,Diesel,Automatic,34.3,N/A
Honda,City i-VTEC CVT ZX,2018,1140000,14398.75,in stock,Petrol,Automatic,21.7,N/A
Chevrolet,Beat Diesel LS,2011,95000,43750.0,in stock,Diesel,Manual,20.2,N/A
BMW,3 Series GT Luxury Line,2017,3050000,18750.0,sold,Diesel,Automatic,32.1,N/A
Hyundai,Grand i10 1.2 Kappa Magna AT,2017,550000,12431.25,sold,Petrol,Automatic,24.8,N/A
Maruti,Ertiga VXI,2015,625000,7448.75,sold,Petrol,Manual,26.7,N/A
Hyundai,Grand i10 Magna AT,2017,520000,6568.75,sold,Petrol,Automatic,24.6,N/A
Chevrolet,Beat LT Option,2016,239000,25625.0,in stock,Petrol,Manual,22.8,N/A
Toyota,Fortuner 4x2 AT,2017,2600000,29476.25,sold,Diesel,Automatic,34.7,N/A
Hyundai,i10 Magna,2012,229999,31140.0,sold,Petrol,Manual,18.8,N/A
Audi,A6 2.0 TDI Premium Plus,2013,1300000,36562.5,in stock,Diesel,Automatic,25.6,N/A
Maruti,Baleno Delta 1.2,2017,585000,27255.0,sold,Petrol,Manual,30.8,N/A
Maruti,Baleno Alpha CVT,2018,825000,7007.5,sold,Petrol,Automatic,34.7,N/A
Hyundai,i20 1.4 Magna Executive,2013,280000,32500.0,sold,Diesel,Manual,34.6,N/A
Maruti,Baleno Zeta,2016,725000,30760.625,sold,Petrol,Manual,31.7,N/A
Mahindra,Verito 1.5 D4 BSIV,2015,300000,56250.0,sold,Diesel,Manual,27.4,N/A
Hyundai,Xcent 1.2 Kappa S,2015,375000,43750.0,sold,Petrol,Manual,27.1,N/A
Honda,City VTEC,2003,310000,56250.0,sold,Petrol,Manual,35.3,N/A
Maruti,Swift Dzire VDi,2011,375000,118750.0,in stock,Diesel,Manual,24.8,N/A
Ford,Endeavour 3.2 Titanium AT 4X4,2016,1950000,66250.0,in stock,Diesel,Automatic,26.2,N/A
Tata,Xenon XT EX 4X2,2012,400000,50000.0,sold,Diesel,Manual,18.8,N/A
Nissan,Terrano XL Plus 85 PS,2014,550000,50000.0,in stock,Diesel,Manual,20.6,N/A
Maruti,Eeco 7 Seater Standard BSIV,2018,270000,12500.0,sold,Petrol,Manual,24.0,N/A
Maruti,Ertiga ZDI,2012,555000,68750.0,in stock,Diesel,Manual,21.3,N/A
Ford,Ecosport 1.5 DV5 MT Ambiente,2013,500000,37500.0,sold,Diesel,Manual,20.0,N/A
Skoda,Laura Elegance 1.9 TDI  AT,2010,400000,81250.0,sold,Diesel,Automatic,20.2,N/A
Hyundai,EON 1.0 Era Plus,2017,280000,18023.75,sold,Petrol,Manual,25.4,N/A
Tata,Indica GLS BS IV,2008,80000,125000.0,sold,Petrol,Manual,17.9,N/A
Tata,Indica DLS,2006,55000,62500.0,in stock,Diesel,Manual,29.7,N/A
Maruti,Alto 800 LXI Airbag,2014,250000,31250.0,sold,Petrol,Manual,28.3,N/A
Mahindra,Bolero SLX 2WD,2010,250000,118750.0,sold,Diesel,Manual,20.5,N/A
Mahindra,Jeep MM 540,2007,95000,62500.0,sold,Diesel,Manual,27.0,N/A
Mahindra,Scorpio 1.99 S10,2014,725000,84375.0,sold,Diesel,Manual,20.8,N/A
Mahindra,Bolero Power Plus Plus AC BSIV PS,2015,320000,31250.0,sold,Diesel,Manual,27.3,N/A
Skoda,Octavia Elegance 2.0 TDI AT,2014,1200000,84375.0,in stock,Diesel,Automatic,28.2,N/A
Chevrolet,Beat Diesel LS,2012,160000,31250.0,in stock,Diesel,Manual,20.9,N/A
Honda,Jazz 1.5 VX i DTEC,2018,790000,12231.875,in stock,Diesel,Manual,23.5,N/A
Honda,City i-VTEC ZX,2018,1200000,18500.0,sold,Petrol,Manual,22.4,N/A
Maruti,Swift LXI,2011,175000,43750.0,in stock,Petrol,Manual,18.3,N/A
Maruti,Vitara Brezza ZDi Plus AMT Dual Tone,2018,950000,9375.0,sold,Diesel,Automatic,32.3,N/A
Maruti,Celerio LXI MT BSIV,2019,340000,31250.0,sold,Petrol,Manual,24.8,N/A
Renault,Captur 1.5 Diesel RXT,2017,825000,8437.5,sold,Diesel,Manual,32.4,N/A
Audi,A4 30 TFSI Technology,2018,3100000,13750.0,in stock,Petrol,Automatic,26.2,N/A
Honda,Amaze VX Diesel BSIV,2018,780000,15625.0,sold,Diesel,Manual,25.3,N/A
Toyota,Corolla Altis 1.8 VL AT,2010,350000,50000.0,in stock,Petrol,Automatic,19.9,N/A
Honda,Amaze VX Petrol BSIV,2018,690000,24375.0,in stock,Petrol,Manual,22.2,N/A
Maruti,Alto 800 VXI,2016,245000,37500.0,sold,Petrol,Manual,17.5,N/A
Honda,Amaze VX Diesel BSIV,2018,790000,30625.0,sold,Diesel,Manual,23.5,N/A
Honda,Amaze VX i-VTEC,2018,680000,30375.0,sold,Petrol,Manual,26.8,N/A
Hyundai,Grand i10 Asta Option,2017,540000,12500.0,sold,Petrol,Manual,20.0,N/A
Mahindra,KUV 100 mFALCON G80 K2,2016,425000,15625.0,sold,Petrol,Manual,16.9,N/A
Maruti,Zen Estilo Sports,2008,140000,75000.0,in stock,Petrol,Manual,21.7,N/A
Maruti,Ertiga ZDI Plus,2019,1100000,18750.0,sold,Diesel,Manual,18.5,N/A
Renault,Lodgy 85PS RxL,2015,715000,21875.0,sold,Diesel,Manual,23.5,N/A
Audi,A4 3.0 TDI Quattro,2013,1580000,53750.0,in stock,Diesel,Automatic,21.7,N/A
Audi,Q3 2.0 TDI Quattro Premium Plus,2015,1750000,79776.875,sold,Diesel,Automatic,25.5,N/A
Tata,Zest Revotron 1.2T XMS,2018,400000,33750.0,sold,Petrol,Manual,29.5,N/A
Audi,A6 2.0 TDI  Design Edition,2014,1750000,63971.25,sold,Diesel,Automatic,21.7,N/A
Audi,Q5 2.0 TFSI Quattro Premium Plus,2014,1850000,38898.125,sold,Petrol,Automatic,29.3,N/A
Hyundai,Santro Xing XL eRLX Euro III,2005,114999,56250.0,sold,Petrol,Manual,27.3,N/A
Ford,EcoSport 1.5 TDCi Titanium BSIV,2018,950000,13371.25,sold,Diesel,Manual,20.6,N/A
Datsun,GO T Petrol,2015,310000,20428.75,sold,Petrol,Manual,25.8,N/A
Mahindra,Jeep CJ 500 DI,2006,575000,625.625,sold,Diesel,Manual,19.6,N/A
Renault,Pulse RxZ,2017,490000,13750.0,sold,Diesel,Manual,23.2,N/A
Hyundai,Grand i10 Magna,2017,480000,33288.125,sold,Petrol,Manual,27.8,N/A
Land,Rover Discovery Sport SD4 HSE Luxury,2016,3500000,33125.0,sold,Diesel,Automatic,18.1,N/A
Renault,KWID 1.0 RXT Optional,2018,370000,6250.0,in stock,Petrol,Manual,30.1,N/A
Maruti,Baleno Alpha 1.3,2017,835000,8750.0,sold,Diesel,Manual,25.4,N/A
Volkswagen,Polo 2015-2019 1.2 MPI Highline,2017,650000,27500.0,in stock,Petrol,Manual,19.7,N/A
Toyota,Etios VD,2014,670000,24934.375,sold,Diesel,Manual,17.4,N/A
Chevrolet,Cruze LTZ AT,2017,950000,45625.0,in stock,Diesel,Automatic,26.2,N/A
Honda,City i-VTEC SV,2014,690000,10625.0,sold,Petrol,Manual,28.0,N/A
Volkswagen,Polo 2015-2019 1.2 MPI Highline,2017,670000,11619.375,in stock,Petrol,Manual,33.4,N/A
Tata,Nexon 1.5 Revotorq XZ,2017,925000,16728.75,sold,Diesel,Manual,29.4,N/A
Hyundai,EON Magna Plus,2015,250000,18750.0,sold,Petrol,Manual,23.2,N/A
Tata,Sumo Gold EX,2016,509999,26250.0,sold,Diesel,Manual,15.3,N/A
Honda,City i DTEC VX,2014,520000,68750.0,sold,Diesel,Manual,28.2,N/A
Tata,Indica DLE,2005,100000,62500.0,sold,Diesel,Manual,26.1,N/A
Tata,Indica DLS,2006,85000,187500.0,in stock,Diesel,Manual,29.0,N/A
Tata,Indigo LX,2009,130000,68750.0,sold,Diesel,Manual,27.5,N/A
Ford,EcoSport 1.5 TDCi Titanium BSIV,2018,950000,17262.5,sold,Diesel,Manual,30.3,N/A
Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,450000,43750.0,sold,Petrol,Manual,29.4,N/A
Honda,City S,2012,320000,31250.0,in stock,Petrol,Manual,28.1,N/A
Maruti,Swift Dzire VDI,2015,480000,31250.0,in stock,Diesel,Manual,20.8,N/A
Mercedes-Benz,New C-Class C 220 CDI Grand Edition,2014,2490000,28750.0,sold,Diesel,Automatic,29.0,N/A
Toyota,Innova 2.5 VX 8 STR,2012,790000,51250.0,in stock,Diesel,Manual,14.8,N/A
Maruti,Omni MPI STD BSIV,2016,120000,75000.0,sold,Petrol,Manual,16.5,N/A
Maruti,Alto LXi,2006,75000,50000.0,in stock,Petrol,Manual,27.5,N/A
Tata,Indica GLS BS IV,2010,99000,43750.0,sold,Petrol,Manual,29.7,N/A
Maruti,S-Cross Zeta DDiS 200 SH,2018,1015000,12500.0,sold,Diesel,Manual,26.4,N/A
Mahindra,Xylo D4 BSIV,2013,250000,125000.0,sold,Diesel,Manual,25.6,N/A
Toyota,Innova Crysta 2.5 VX BS IV,2011,520000,75000.0,sold,Diesel,Manual,19.0,N/A
Hyundai,Verna CRDi 1.6 AT SX Option,2018,1100000,18750.0,in stock,Diesel,Automatic,21.7,N/A
Toyota,Innova 2.5 V Diesel 7-seater,2005,200000,139375.0,sold,Diesel,Manual,26.3,N/A
Maruti,Swift Dzire VDI,2016,525000,37500.0,in stock,Diesel,Manual,25.2,N/A
Hyundai,i20 Asta 1.2,2016,500000,25000.0,in stock,Petrol,Manual,29.4,N/A
Mahindra,Scorpio S2 7 Seater,2016,675000,100829.375,sold,Diesel,Manual,24.2,N/A
Hyundai,i10 Magna 1.2 iTech SE,2009,150000,37500.0,in stock,Petrol,Manual,19.0,N/A
Mahindra,Bolero DI,2007,250000,31250.0,sold,Diesel,Manual,32.0,N/A
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2018,450000,3750.0,sold,Petrol,Manual,28.1,N/A
Hyundai,Santro Xing XS,2009,150000,42500.0,in stock,Petrol,Manual,25.6,N/A
Chevrolet,Beat Diesel LS,2012,200000,53125.0,sold,Diesel,Manual,22.3,N/A
Mahindra,Scorpio VLS AT 2.2 mHAWK,2011,525000,43750.0,in stock,Diesel,Automatic,27.5,N/A
Maruti,Esteem VX,1999,60000,21875.0,sold,Petrol,Manual,16.8,N/A
Maruti,Swift Vdi BSIII,2010,180000,62500.0,sold,Diesel,Manual,20.4,N/A
Honda,Amaze S i-Dtech,2015,475000,68750.0,sold,Diesel,Manual,16.3,N/A
Mahindra,Scorpio VLS AT 2.2 mHAWK,2010,380000,121875.0,in stock,Diesel,Automatic,26.1,N/A
Maruti,Alto 800 LXI,2015,285000,28750.0,sold,Petrol,Manual,34.6,N/A
Maruti,Alto LXi BSIII,2008,91200,37500.0,sold,Petrol,Manual,28.7,N/A
Datsun,RediGO T Option,2017,250000,28750.0,sold,Petrol,Manual,24.3,N/A
Hyundai,Grand i10 CRDi Sportz,2015,400000,26250.0,in stock,Diesel,Manual,27.9,N/A
Hyundai,Santro Xing XG AT,2006,160000,56250.0,sold,Petrol,Automatic,27.1,N/A
Skoda,Yeti Ambition 4X2,2012,650000,53125.0,sold,Diesel,Manual,26.6,N/A
Hyundai,Verna 1.6 SX,2012,409999,75000.0,in stock,Diesel,Manual,15.5,N/A
Ford,Ecosport 1.5 DV5 MT Titanium,2013,425000,45000.0,in stock,Diesel,Manual,26.2,N/A
